product_id,product_name,category,sub_category,brand,cost_price,selling_price,supplier,reorder_level
P0126,GlowCare Fitness Band 126,Sports,Fitness Band,FitPro,11894,25645.65,Supplier 42,54
P0127,TechNova Laptop 127,Electronics,Laptop,DailyStyle,9051,18122.97,Supplier 38,70
P0128,FitPro Perfume 128,Beauty,Perfume,StepUp,8223,15905.86,Supplier 34,63
P0129,UrbanWear Sandals 129,Footwear,Sandals,UrbanWear,18244,22085.78,Supplier 1,72
P0130,TechNova Jackets 130,Fashion,Jackets,StepUp,3704,6983.89,Supplier 47,56
P0131,UrbanWear Mobile 131,Electronics,Mobile,UrbanWear,1415,1731.54,Supplier 39,47
P0132,UrbanWear Fitness Band 132,Sports,Fitness Band,UrbanWear,4290,8185.64,Supplier 39,36
P0133,StepUp Perfume 133,Beauty,Perfume,UrbanWear,18848,37756.31,Supplier 45,43
P0134,UrbanWear Laptop 134,Electronics,Laptop,DailyStyle,15601,29025.31,Supplier 30,55
P0135,UrbanWear Perfume 135,Beauty,Perfume,TechNova,10897,15880.6,Supplier 50,27
P0136,TechNova Makeup 136,Beauty,Makeup,TechNova,11200,24594.74,Supplier 12,76
P0137,StepUp Jeans 137,Fashion,Jeans,DailyStyle,6875,12445.83,Supplier 32,33
P0138,DailyStyle Sports Shoes 138,Footwear,Sports Shoes,UrbanWear,14431,20468.74,Supplier 29,53
P0139,DailyStyle Shirts 139,Fashion,Shirts,TechNova,2689,3416.14,Supplier 50,77
P0140,UrbanWear Jeans 140,Fashion,Jeans,UrbanWear,5177,9592.28,Supplier 43,69
P0141,FitPro Mobile 141,Electronics,Mobile,UrbanWear,11107,23375.99,Supplier 33,82
P0142,UrbanWear Makeup 142,Beauty,Makeup,FitPro,13535,27666.21,Supplier 15,20
P0143,FitPro Perfume 143,Beauty,Perfume,TechNova,16096,21266.09,Supplier 22,58
P0144,TechNova Skincare 144,Beauty,Skincare,UrbanWear,3270,5118.71,Supplier 30,57
P0145,GlowCare Running Shoes 145,Footwear,Running Shoes,DailyStyle,18469,22889.21,Supplier 13,58
P0146,DailyStyle Skincare 146,Beauty,Skincare,GlowCare,12072,20359.47,Supplier 48,44
P0147,FitPro Running Shoes 147,Footwear,Running Shoes,StepUp,6627,8120.49,Supplier 32,69
P0148,GlowCare Jackets 148,Fashion,Jackets,UrbanWear,10383,17647.82,Supplier 3,63
P0149,StepUp Jeans 149,Fashion,Jeans,DailyStyle,1702,2732.57,Supplier 43,86
P0150,FitPro Perfume 150,Beauty,Perfume,StepUp,17882,24121.99,Supplier 5,24
P0151,FitPro Sandals 151,Footwear,Sandals,UrbanWear,924,1544.21,Supplier 16,36
P0152,UrbanWear Shirts 152,Fashion,Shirts,GlowCare,1937,4076.73,Supplier 40,41
P0153,FitPro Gym Equipment 153,Sports,Gym Equipment,FitPro,3784,4972.86,Supplier 15,28
P0154,DailyStyle Sandals 154,Footwear,Sandals,DailyStyle,11354,22838.81,Supplier 26,61
P0155,TechNova Jackets 155,Fashion,Jackets,StepUp,19173,33473.85,Supplier 49,25
P0156,TechNova Gym Equipment 156,Sports,Gym Equipment,StepUp,11293,14265.56,Supplier 49,73
P0157,GlowCare Sports Shoes 157,Footwear,Sports Shoes,StepUp,12421,21779.08,Supplier 38,25
P0158,UrbanWear Running Shoes 158,Footwear,Running Shoes,GlowCare,12625,24967.98,Supplier 6,20
P0159,FitPro Shirts 159,Fashion,Shirts,TechNova,3220,6139.71,Supplier 27,80
P0160,FitPro Running Shoes 160,Footwear,Running Shoes,GlowCare,4988,9177.05,Supplier 27,50
P0161,DailyStyle Sports Shoes 161,Footwear,Sports Shoes,GlowCare,1532,2751.89,Supplier 40,31
P0162,StepUp Laptop 162,Electronics,Laptop,StepUp,14022,16890.48,Supplier 8,87
P0163,FitPro Jackets 163,Fashion,Jackets,FitPro,12158,25078.68,Supplier 15,79
P0164,StepUp Sandals 164,Footwear,Sandals,DailyStyle,2038,2840.4,Supplier 31,83
P0165,TechNova Running Shoes 165,Footwear,Running Shoes,TechNova,1712,2146.9,Supplier 14,75
P0166,DailyStyle Laptop 166,Electronics,Laptop,UrbanWear,15148,18833.77,Supplier 35,42
P0167,UrbanWear Running Shoes 167,Footwear,Running Shoes,StepUp,16194,27771.15,Supplier 47,76
P0168,DailyStyle Fitness Band 168,Sports,Fitness Band,DailyStyle,10981,17778.97,Supplier 21,49
P0169,DailyStyle Jeans 169,Fashion,Jeans,GlowCare,7763,10076.87,Supplier 13,68
P0170,UrbanWear Running Shoes 170,Footwear,Running Shoes,GlowCare,15733,28084.86,Supplier 10,47
P0171,StepUp Yoga Mat 171,Sports,Yoga Mat,GlowCare,6134,9736.68,Supplier 47,44
P0172,UrbanWear Laptop 172,Electronics,Laptop,DailyStyle,6926,10637.58,Supplier 37,27
P0173,GlowCare Mobile 173,Electronics,Mobile,GlowCare,3940,8083.51,Supplier 11,63
P0174,DailyStyle Sandals 174,Footwear,Sandals,FitPro,5437,10817.17,Supplier 11,93
P0175,FitPro Gym Equipment 175,Sports,Gym Equipment,GlowCare,3133,5049.44,Supplier 14,95
P0176,GlowCare Makeup 176,Beauty,Makeup,DailyStyle,9447,11473.42,Supplier 16,51
P0177,FitPro Laptop 177,Electronics,Laptop,StepUp,19287,27433.96,Supplier 37,20
P0178,DailyStyle Skincare 178,Beauty,Skincare,FitPro,1612,3532.33,Supplier 3,74
P0179,DailyStyle Yoga Mat 179,Sports,Yoga Mat,UrbanWear,16004,32163.5,Supplier 29,83
P0180,DailyStyle Running Shoes 180,Footwear,Running Shoes,DailyStyle,18600,36327.26,Supplier 27,47
P0181,UrbanWear Sandals 181,Footwear,Sandals,UrbanWear,9992,14379.11,Supplier 31,59
P0182,DailyStyle Sports Shoes 182,Footwear,Sports Shoes,FitPro,15349,31587.05,Supplier 2,78
P0183,TechNova Skincare 183,Beauty,Skincare,DailyStyle,13582,18810.33,Supplier 30,20
P0184,TechNova Jeans 184,Fashion,Jeans,GlowCare,11208,19400.16,Supplier 49,54
P0185,DailyStyle Fitness Band 185,Sports,Fitness Band,UrbanWear,19149,38192.27,Supplier 40,62
P0186,UrbanWear Jackets 186,Fashion,Jackets,GlowCare,12227,25529.71,Supplier 24,79
P0187,DailyStyle Gym Equipment 187,Sports,Gym Equipment,FitPro,12279,19234.23,Supplier 46,28
P0188,TechNova Fitness Band 188,Sports,Fitness Band,StepUp,7008,9379.55,Supplier 35,34
P0189,DailyStyle Perfume 189,Beauty,Perfume,StepUp,19309,39991.48,Supplier 49,48
P0190,GlowCare Laptop 190,Electronics,Laptop,TechNova,9060,15434.31,Supplier 4,28
P0191,FitPro Laptop 191,Electronics,Laptop,UrbanWear,15124,25502.5,Supplier 31,88
P0192,DailyStyle Yoga Mat 192,Sports,Yoga Mat,DailyStyle,15110,27514.57,Supplier 5,44
P0193,StepUp Skincare 193,Beauty,Skincare,TechNova,2927,4655.93,Supplier 5,33
P0194,GlowCare Sandals 194,Footwear,Sandals,StepUp,3970,7531.42,Supplier 14,86
P0195,FitPro Jeans 195,Fashion,Jeans,StepUp,13949,30263.4,Supplier 31,64
P0196,UrbanWear Makeup 196,Beauty,Makeup,UrbanWear,1003,1495.99,Supplier 15,86
P0197,DailyStyle Laptop 197,Electronics,Laptop,TechNova,19262,29717.27,Supplier 32,95
P0198,FitPro Fitness Band 198,Sports,Fitness Band,StepUp,14890,24687.73,Supplier 20,41
P0199,TechNova Mobile 199,Electronics,Mobile,UrbanWear,16167,25412.94,Supplier 10,65
P0200,StepUp Laptop 200,Electronics,Laptop,DailyStyle,5751,10458.94,Supplier 35,56
P0201,UrbanWear Running Shoes 201,Footwear,Running Shoes,UrbanWear,5329,7254.13,Supplier 21,93
P0202,StepUp Sandals 202,Footwear,Sandals,FitPro,8833,13864.91,Supplier 46,24
P0203,FitPro Laptop 203,Electronics,Laptop,StepUp,5147,8095.79,Supplier 35,58
P0204,StepUp Shirts 204,Fashion,Shirts,GlowCare,13556,28888.77,Supplier 21,39
P0205,TechNova Jackets 205,Fashion,Jackets,DailyStyle,18196,39587.24,Supplier 46,57
P0206,FitPro Makeup 206,Beauty,Makeup,DailyStyle,19099,35655.69,Supplier 29,63
P0207,StepUp Jackets 207,Fashion,Jackets,DailyStyle,15995,33592.29,Supplier 36,34
P0208,StepUp Mobile 208,Electronics,Mobile,GlowCare,13460,24463.85,Supplier 23,31
P0209,StepUp Mobile 209,Electronics,Mobile,TechNova,6694,11938.29,Supplier 13,22
P0210,UrbanWear Jackets 210,Fashion,Jackets,FitPro,14896,27960.74,Supplier 26,44
P0211,DailyStyle Makeup 211,Beauty,Makeup,TechNova,17062,36570.73,Supplier 26,38
P0212,TechNova Makeup 212,Beauty,Makeup,TechNova,12952,20371.31,Supplier 23,59
P0213,GlowCare Perfume 213,Beauty,Perfume,DailyStyle,3170,4487.75,Supplier 27,76
P0214,GlowCare Mobile 214,Electronics,Mobile,StepUp,14188,27363.06,Supplier 38,96
P0215,FitPro Shirts 215,Fashion,Shirts,TechNova,7108,10684.97,Supplier 5,95
P0216,TechNova Skincare 216,Beauty,Skincare,GlowCare,516,830.48,Supplier 12,91
P0217,StepUp Perfume 217,Beauty,Perfume,StepUp,18909,36971.7,Supplier 12,68
P0218,TechNova Smart Watch 218,Electronics,Smart Watch,FitPro,16375,20341.56,Supplier 20,83
P0219,UrbanWear Fitness Band 219,Sports,Fitness Band,StepUp,15486,22060.12,Supplier 17,58
P0220,GlowCare Skincare 220,Beauty,Skincare,DailyStyle,9726,15728.47,Supplier 42,51
P0221,UrbanWear Shirts 221,Fashion,Shirts,FitPro,9383,15885.89,Supplier 48,66
P0222,TechNova Yoga Mat 222,Sports,Yoga Mat,DailyStyle,18832,30810.44,Supplier 44,80
P0223,UrbanWear Jeans 223,Fashion,Jeans,TechNova,17094,33041.97,Supplier 11,94
P0224,DailyStyle Shirts 224,Fashion,Shirts,StepUp,10775,17897.75,Supplier 23,40
P0225,TechNova Jeans 225,Fashion,Jeans,UrbanWear,12134,19651.18,Supplier 19,57
P0226,DailyStyle Fitness Band 226,Sports,Fitness Band,StepUp,2817,4827.96,Supplier 49,32
P0227,TechNova Gym Equipment 227,Sports,Gym Equipment,DailyStyle,18116,27583.55,Supplier 20,54
P0228,StepUp Mobile 228,Electronics,Mobile,UrbanWear,17811,31704.41,Supplier 9,86
P0229,StepUp Laptop 229,Electronics,Laptop,UrbanWear,16189,26096.58,Supplier 14,39
P0230,FitPro Gym Equipment 230,Sports,Gym Equipment,FitPro,6474,12916.32,Supplier 45,87
P0231,UrbanWear Fitness Band 231,Sports,Fitness Band,GlowCare,18358,34921.78,Supplier 30,29
P0232,TechNova Shirts 232,Fashion,Shirts,DailyStyle,869,1459.5,Supplier 24,37
P0233,TechNova Perfume 233,Beauty,Perfume,StepUp,17441,34246.97,Supplier 46,58
P0234,DailyStyle Jackets 234,Fashion,Jackets,StepUp,4186,5953.99,Supplier 45,49
P0235,UrbanWear Mobile 235,Electronics,Mobile,GlowCare,7176,9545.65,Supplier 45,34
P0236,UrbanWear Shirts 236,Fashion,Shirts,StepUp,16168,31646.18,Supplier 7,24
P0237,TechNova Fitness Band 237,Sports,Fitness Band,UrbanWear,2242,3742.08,Supplier 5,58
P0238,StepUp Shirts 238,Fashion,Shirts,FitPro,4356,9235.15,Supplier 13,43
P0239,DailyStyle Mobile 239,Electronics,Mobile,TechNova,3274,4405.35,Supplier 38,64
P0240,FitPro Mobile 240,Electronics,Mobile,StepUp,16704,33087.32,Supplier 33,92
P0241,FitPro Shirts 241,Fashion,Shirts,StepUp,19244,37780.67,Supplier 46,44
P0242,DailyStyle Mobile 242,Electronics,Mobile,UrbanWear,17900,21557.49,Supplier 14,84
P0243,DailyStyle Makeup 243,Beauty,Makeup,UrbanWear,19612,27165.09,Supplier 12,65
P0244,GlowCare Makeup 244,Beauty,Makeup,UrbanWear,7321,12550.03,Supplier 49,60
P0245,GlowCare Jeans 245,Fashion,Jeans,TechNova,3914,6731.01,Supplier 46,56
P0246,GlowCare Fitness Band 246,Sports,Fitness Band,UrbanWear,1630,2090.06,Supplier 25,56
P0247,GlowCare Perfume 247,Beauty,Perfume,StepUp,10523,19857.39,Supplier 36,72
P0248,GlowCare Laptop 248,Electronics,Laptop,DailyStyle,6486,13340.23,Supplier 24,42
P0249,GlowCare Jackets 249,Fashion,Jackets,GlowCare,16410,30721.09,Supplier 34,30
P0250,FitPro Shirts 250,Fashion,Shirts,UrbanWear,13237,21187.46,Supplier 48,41
P0251,FitPro Jeans 251,Fashion,Jeans,GlowCare,6823,10498.08,Supplier 8,49
P0252,DailyStyle Perfume 252,Beauty,Perfume,FitPro,16654,24623.24,Supplier 38,54
P0253,GlowCare Makeup 253,Beauty,Makeup,GlowCare,15891,29663.36,Supplier 33,55
P0254,GlowCare Sandals 254,Footwear,Sandals,GlowCare,3840,5077.21,Supplier 15,100
P0255,UrbanWear Running Shoes 255,Footwear,Running Shoes,GlowCare,3563,6904.38,Supplier 44,23
P0256,FitPro Sandals 256,Footwear,Sandals,FitPro,11013,14897.69,Supplier 7,29
P0257,DailyStyle Yoga Mat 257,Sports,Yoga Mat,GlowCare,15570,21828.08,Supplier 32,84
P0258,FitPro Smart Watch 258,Electronics,Smart Watch,FitPro,11559,23227.6,Supplier 2,24
P0259,GlowCare Skincare 259,Beauty,Skincare,GlowCare,12870,21236.99,Supplier 30,24
P0260,TechNova Shirts 260,Fashion,Shirts,DailyStyle,18540,34473.48,Supplier 11,82
P0261,GlowCare Skincare 261,Beauty,Skincare,UrbanWear,10538,20187.89,Supplier 37,82
P0262,GlowCare Fitness Band 262,Sports,Fitness Band,FitPro,17974,31853.71,Supplier 11,84
P0263,GlowCare Jeans 263,Fashion,Jeans,FitPro,8930,15133.59,Supplier 44,65
P0264,UrbanWear Laptop 264,Electronics,Laptop,StepUp,2312,2839.48,Supplier 24,64
P0265,GlowCare Gym Equipment 265,Sports,Gym Equipment,TechNova,11482,18148.14,Supplier 23,72
P0266,DailyStyle Mobile 266,Electronics,Mobile,TechNova,8302,12018.09,Supplier 38,30
P0267,UrbanWear Jeans 267,Fashion,Jeans,FitPro,4050,6227.26,Supplier 21,24
P0268,GlowCare Perfume 268,Beauty,Perfume,TechNova,14143,25005.52,Supplier 2,80
P0269,GlowCare Gym Equipment 269,Sports,Gym Equipment,TechNova,10671,16836.04,Supplier 37,32
P0270,FitPro Skincare 270,Beauty,Skincare,DailyStyle,7047,10823.96,Supplier 22,41
P0271,StepUp Yoga Mat 271,Sports,Yoga Mat,GlowCare,12205,26477.87,Supplier 41,29
P0272,TechNova Gym Equipment 272,Sports,Gym Equipment,FitPro,9716,14235.45,Supplier 26,48
P0273,FitPro Fitness Band 273,Sports,Fitness Band,UrbanWear,3313,6353.36,Supplier 38,63
P0274,GlowCare Mobile 274,Electronics,Mobile,GlowCare,18860,37742.36,Supplier 14,64
P0275,TechNova Jackets 275,Fashion,Jackets,GlowCare,10190,17370.28,Supplier 43,89
P0276,FitPro Mobile 276,Electronics,Mobile,FitPro,13876,22233.53,Supplier 30,90
P0277,FitPro Running Shoes 277,Footwear,Running Shoes,GlowCare,17215,35509.55,Supplier 14,79
